# $Id: testScript.txt,v 1.2 2000/10/17 21:55:16 andyh Exp $
#
#Cardnumber,        amtLow,        amtHigh,       Authrespcode
9999999999999999,    0.00  ,        9999999.99,    00
9999999999999999,    0.00  ,        9999999.99,    00
9999999999999999,    0.00  ,        9999999.99,    00
9999999999999999,    0.00  ,        9999999.99,    00
9999999999999999,    0.00  ,        9999999.99,    00
4788250000028549,    0.00  ,        49.99     ,    00
4788250000028549,    50.00 ,        99.99     ,    41
4788250000028549,    100.00,        149.99    ,    08
4788250000028549,    150.00,        9999999.99,    05
4788250000028556,    50.00 ,        99.99     ,    51
4788250000028556,    100.00,        149.99    ,    19
4788250000028556,    150.00,        9999999.99,    02
3566005530230415,    0.00  ,        49.99     ,    85
3566005530230415,    50.00 ,        99.99     ,    04
3566005530230415,    100.00,        149.99    ,    55
3566005530230415,    150.00,        9999999.99,    80
3566002020050015,    0.00  ,        49.99     ,    62
3566002020050015,    50.00 ,        99.99     ,    07
3566002020050015,    100.00,        149.99    ,    13
6011000993075013,    0.00  ,        49.99     ,    91
6011000993075013,    50.00 ,        99.99     ,    00
6011000993075013,    100.00,        149.99    ,    96
6011000993075013,    150.00,        9999999.99,    79
6011000993075047,    0.00  ,        49.99     ,    01
6011000993075047,    50.00 ,        99.99     ,    00
6011000993075047,    100.00,        149.99    ,    06
6011000993075047,    150.00,        9999999.99,    12
5411170455207285,    0.00  ,        49.99     ,    25
5411170455207285,    50.00 ,        99.99     ,    30
5411170455207285,    150.00,        9999999.99,    61
5419843331777778,    0.00  ,        49.99     ,    65
5419843331777778,    50.00 ,        99.99     ,    75
5419843331777778,    100.00,        149.99    ,    76
371449635311004 ,    0.00  ,        49.99     ,    00
371449635311004 ,    50.00 ,        99.99     ,    41
371449635311004 ,    100.00,        149.99    ,    08
371449635311004 ,    150.00,        9999999.99,    05
373235387881007 ,    0.00  ,        49.99     ,    00
373235387881007 ,    50.00 ,        99.99     ,    92
373235387881007 ,    100.00,        149.99    ,    05
373235387881007 ,    150.00,        9999999.99,    15
38555565220000  ,    0.00  ,        49.99     ,    62
38555565220000  ,    50.00 ,        99.99     ,    07
38555565220000  ,    100.00,        149.99    ,    00
38555565010013  ,    50.00 ,        99.99     ,    63
38555565010013  ,    100.00,        149.99    ,    82
38555565010013  ,    150.00,        9999999.99,    XA
4788250000028549,    0.00  ,        49.99     ,    00
4788250000028549,    50.00 ,        99.99     ,    41
4788250000028549,    100.00,        149.99    ,    08
4788250000028549,    150.00,        9999999.99,    05
4788250000028556,    0.00  ,        49.99     ,    00
4788250000028556,    50.00 ,        99.99     ,    51
4788250000028556,    100.00,        149.99    ,    19
4788250000028556,    150.00,        9999999.99,    02
3566005530230415,    0.00  ,        49.99     ,    85
3566005530230415,    50.00 ,        99.99     ,    04
3566005530230415,    100.00,        149.99    ,    55
3566005530230415,    150.00,        9999999.99,    80
3566002020050015,    0.00  ,        49.99     ,    62
3566002020050015,    50.00 ,        99.99     ,    07
3566002020050015,    100.00,        149.99    ,    13
6011000993075013,    0.00  ,        49.99     ,    91
6011000993075013,    50.00 ,        99.99     ,    00
6011000993075013,    100.00,        149.99    ,    96
6011000993075013,    150.00,        9999999.99,    79
6011000993075047,    0.00  ,        49.99     ,    01
6011000993075047,    50.00 ,        99.99     ,    00
6011000993075047,    100.00,        149.99    ,    06
6011000993075047,    150.00,        9999999.99,    12
5411170455207285,    0.00  ,        49.99     ,    25
5411170455207285,    50.00 ,        99.99     ,    30
5411170455207285,    100.00,        149.99    ,    00
5411170455207285,    150.00,        9999999.99,    61
5419843331777778,    0.00  ,        49.99     ,    65
5419843331777778,    50.00 ,        99.99     ,    75
5419843331777778,    100.00,        149.99    ,    76
5419843331777778,    150.00,        9999999.99,    00
371449635311004 ,    0.00  ,        49.99     ,    00
371449635311004 ,    50.00 ,        99.99     ,    41
371449635311004 ,    100.00,        149.99    ,    08
371449635311004 ,    150.00,        9999999.99,    05
373235387881007 ,    0.00  ,        49.99     ,    00
373235387881007 ,    50.00 ,        99.99     ,    92
373235387881007 ,    100.00,        149.99    ,    05
373235387881007 ,    150.00,        9999999.99,    15
38555565220000  ,    0.00  ,        49.99     ,    62
38555565220000  ,    50.00 ,        99.99     ,    07
38555565220000  ,    100.00,        149.99    ,    00
38555565220000  ,    150.00,        9999999.99,    00
38555565010013  ,    0.00  ,        49.99     ,    00
38555565010013  ,    50.00 ,        99.99     ,    63
38555565010013  ,    100.00,        149.99    ,    82
38555565010013  ,    150.00,        9999999.99,    XA
4427802718148774,    0.00  ,        9999999.99,    00
5499850000000114,    0.00  ,        9999999.99,    00
#5000300020003003,    1.00  ,        10.00     ,    00      CardNoLongerSupportedByCardSystemsPerDuane
370123456789017 , am   1.00  ,        10.00     ,    00
4055010123456787, vs   1.00  ,        10.00     ,    00
4123456789012349, vs   1.00  ,        10.00     ,    00
5123456789012346, mc   1.00  ,        10.00     ,    00
5550123456789018,    1.00  ,        10.00     ,    00
6011234567890123, ns   1.00  ,        10.00     ,    00
4788250000028556,    0.00  ,        49.99     ,    00
3566002020050015,    150.00,        9999999.99,    00
5411170455207285,    100.00,        149.99    ,    00
5419843331777778,    150.00,        9999999.99,    00
38555565220000  ,    150.00,        9999999.99,    00
38555565010013  ,    0.00  ,        49.99     ,    00
